Current,Voltage,Resistance
-3.0952380952380953e-06,-0.010745147146579963,2025.7838018978473
-7.142857142857148e-07,-0.0019370518467466446,2025.7838018978473
1.1904761904761897e-06,0.000957538016067687,2025.7838018978473
3.57142857142857e-06,0.003974631939969384,2025.7838018978473
4.999999999999999e-06,0.008443238090541512,2025.7838018978473
2.6190476190476184e-06,0.008443238090541512,2025.7838018978473
7.14285714285714e-07,0.006977939490738933,2025.7838018978473
-1.6666666666666667e-06,-0.004859897693693516,2025.7838018978473
-3.571428571428571e-06,-0.004859897693693516,2025.7838018978473
-4.9999999999999996e-06,-0.00607235711382733,2025.7838018978473
-4.9999999999999996e-06,-0.010128919009489236,2025.7838018978473
-4.9999999999999996e-06,-0.01059517699570143,2025.7838018978473
-4.9999999999999996e-06,-0.010596781693650806,2025.7838018978473
-4.9999999999999996e-06,-0.010599276428707463,2025.7838018978473
-4.9999999999999996e-06,-0.01059934215964597,2025.7838018978473
-4.9999999999999996e-06,-0.010598686475581329,2025.7838018978473
-4.9999999999999996e-06,-0.010596242078421352,2025.7838018978473
-4.9999999999999996e-06,-0.010596438962938257,2025.7838018978473
-4.9999999999999996e-06,-0.010596438962938257,2025.7838018978473
-4.9999999999999996e-06,-0.010596725400282047,2025.7838018978473
-4.9999999999999996e-06,-0.01059721913071337,2025.7838018978473
-4.9999999999999996e-06,-0.01059897222507461,2025.7838018978473
